SFR	SD_GAS
0.04363	80.74
0.02177	31.03
0.01442	27.45
0.01486	28.48
0.01595	21.78
0.01787	29.92
0.01144	20.31
0.002208	1.387
0.002779	3.752
0.002561	1.658
0.002554	4.473
0.001457	0.8487
0.0009757	0.6252
0.5301	771.6
0.09991	419.7
0.2744	445.1
0.05417	157.9
0.1076	186.6
0.07331	222.3
0.05133	292.5
0.02483	21.8
0.007919	32.56
0.002289	46.01
0.01824	46.04
0.01115	156.2
0.03872	136.5
0.002945	1.004
0.001602	0.4408
0.004007	1.971
0.005406	9.886
0.005042	15.0
0.002419	1.858
0.002583	10.97
0.005752	22.02
0.002146	2.171
0.002143	3.406
0.005783	15.48
0.004001	32.58
0.003701	2.415
0.003895	3.511
0.005018	18.14
0.005418	49.66
0.0008807	1.302
0.004634	3.118
0.004436	1.294
0.001051	0.8221
0.00193	7.412
0.001868	0.661
0.002987	0.504
0.003167	3.265
0.0009955	5.904
0.000707	6.71
0.002994	3.296
0.005642	5.255
0.002716	1.241
0.002996	8.417
0.00263	30.0
0.00294	2.107
0.004247	1.991
0.000425	0.5596
0.003106	2.11
0.002679	0.7282
0.002388	0.5864
0.004072	0.3244
0.003708	11.12
0.004657	23.56
0.003289	0.4603
0.002332	2.036
0.001668	1.68
0.003039	7.933
0.00543	0.2968
0.002733	4.556
0.002655	2.285
0.01306	4.153
0.001326	2.984
0.003799	13.05
0.002698	2.157
0.008719	3.46
0.002958	2.024
0.003735	6.832
0.008819	14.9
0.003056	2.004
0.003678	1.298
0.001615	0.4633
0.002489	2.577
0.007707	3.802
0.003465	3.087
0.01193	6.171
0.002072	2.196
0.002199	7.297
0.00712	3.093
0.006744	27.4
0.004008	5.819
0.004702	4.709
0.003358	2.956
0.01069	5.424
0.01702	10.95
0.002275	5.126
0.004269	4.225
0.002245	7.526
0.004433	4.247
0.003451	8.154
0.008206	8.878
0.01135	22.42
0.002987	3.025
0.003078	3.572
0.004514	2.916
0.00981	3.829
0.01135	32.11
0.0132	6.719
0.008344	13.55
0.002206	0.9576
0.003342	3.273
0.001483	0.3783
0.007697	0.6391
0.00568	2.167
0.003897	1.769
0.003176	1.944
0.001793	1.078
0.002467	0.499
0.003546	3.836
0.004568	2.388
0.09698	40.12
0.02233	20.06
0.05104	42.03
0.06156	29.42
0.03928	17.85
0.07732	45.94
0.03924	22.22
0.03826	16.65
0.007529	10.59
0.004741	13.04
0.02011	18.35
0.01121	7.837
0.006681	6.492
0.01239	15.34
0.03946	25.21
0.01314	5.377
0.01908	10.77
0.00349	7.12
0.009075	9.335
0.002078	2.915
0.002848	4.898
0.005817	5.163
0.0216	11.28
0.005962	4.072
0.005204	6.509
0.001188	0.6022
0.01059	13.49
0.003519	5.587
0.001863	0.8265
0.001517	2.62
0.006947	4.547
0.004117	4.088
0.001132	0.2742
0.006296	6.76
0.003206	1.415
0.002	3.032
0.001173	0.7539
0.0002256	0.3739
0.001122	1.768
0.0006151	0.2753
0.04629	115.6
0.008479	37.27
0.00543	26.33
0.005259	15.75
0.007129	20.64
0.007774	19.06
0.004906	20.33
0.0003931	0.5953
0.0007111	1.742
0.001654	6.849
0.0006141	3.729
0.0002997	0.4874
0.0002264	0.1967
0.0002781	0.1062
0.0004493	1.748
0.0005262	2.338
0.0007166	0.9093
0.0005668	0.5579
0.0005583	0.9864
0.0001905	0.1258
0.001032	2.682
0.000622	0.1908
0.0002906	0.1603
0.0002854	0.1494
0.0005113	0.6868
0.0007177	1.561
0.0003262	0.771
0.0002728	0.7277
0.0004623	1.284
0.0006283	0.5332
0.001182	1.388
0.0006753	0.9026
0.003542	2.078
0.001166	1.678
0.001163	0.5355
0.001553	1.29
0.001176	1.002
0.00164	1.676
0.0006827	1.209
0.001204	1.539
0.0007307	1.392
0.0007782	1.235
0.001726	0.3212
0.0008945	0.911
0.0007602	1.397
0.0007227	0.9725
0.001503	1.461
0.001761	2.843
0.0009077	0.4562
0.0008387	1.528
0.001534	1.37
0.001693	2.217
0.001373	1.166
0.001155	1.427
0.0009885	1.416
0.0015	2.065
0.001951	2.816
0.002093	4.615
0.001801	2.142
0.001245	1.921
0.001242	1.436
0.0007239	1.759
0.006472	1.72
0.000878	2.229
0.001041	1.288
0.001926	2.547
0.001828	0.8614
0.001059	1.498
0.001027	1.85
0.001903	3.582
0.001442	2.765
0.001402	3.019
0.001294	1.049
0.0009884	2.175
0.002193	1.847
0.002311	2.335
0.001123	1.475
0.001549	2.165
0.002019	5.628
0.002361	4.68
0.0009845	0.8742
0.0008834	1.412
0.001368	0.7657
0.0009292	2.452
0.001661	1.846
0.00252	2.448
0.004763	5.973
0.004645	5.287
0.0009444	0.2026
0.001075	0.284
0.002737	3.116
0.002638	2.668
0.001293	2.556
0.001679	2.224
0.001359	1.779
0.001116	1.49
0.00254	4.128
0.004278	4.764
0.001228	1.27
0.001538	1.334
0.003955	4.587
0.001845	1.952
0.007442	8.899
0.002576	4.555
0.0004839	0.9198
0.0002507	0.58
0.0004515	0.5736
0.001046	1.188
0.003319	4.371
0.001559	1.358
0.002712	1.919
0.0009103	0.7018
0.002266	2.877
0.001359	1.393
0.002361	2.449
0.002336	1.758
0.001472	0.9215
0.0008664	0.9104
0.003049	2.606
0.001687	2.361
0.001411	1.383
0.0007476	1.314
0.0004665	0.6765
0.001001	1.627
0.001933	0.5119
0.001285	1.093
0.001016	0.7528
0.00196	1.796
0.001168	2.028
0.0009637	0.2485
0.001201	0.5591
0.000945	2.067
0.001719	1.521
0.00131	0.8534
0.001839	0.6275
0.0007331	0.7629
0.0004999	0.2933
0.001109	1.163
0.0001747	0.2739
0.001973	0.4903
0.001254	0.9237
0.0005601	0.5871
0.0006447	0.3656
0.0006483	0.5803
0.0008135	0.2952
0.04291	15.73
0.00731	7.544
0.04398	28.51
0.01877	12.13
0.02757	17.44
0.007471	8.455
0.02829	26.63
0.002893	5.94
0.0006923	0.9942
0.0004801	0.593
0.004352	8.666
0.004517	4.693
0.006499	9.718
0.000417	1.22
0.002443	4.536
0.002686	2.763
0.0006734	1.101
0.01134	21.29
0.000867	1.253
0.001154	1.339
0.0004784	0.1081
0.001579	3.517
0.0001708	0.1285
0.0004817	2.237
0.0001494	0.5144
0.02966	56.49
0.006146	8.407
0.006095	9.472
0.005264	13.19
0.006374	8.688
0.004183	10.07
0.008173	12.8
0.0005321	0.8117
0.001127	0.3477
0.0008414	1.979
0.001081	0.6804
0.0003255	0.5785
0.0004948	0.6292
0.0001597	0.2686
0.0008619	2.002
0.0004759	0.4415
0.0007164	0.9068
0.0003836	0.2914
0.0008283	0.2258
0.000738	0.5036
0.001159	2.965
0.001311	3.71
0.001005	1.815
0.0007708	2.564
0.0009297	0.5658
0.00125	1.532
0.0009876	2.002
0.0006121	1.882
0.0007568	0.6241
0.001246	1.982
0.0003218	1.565
0.001014	3.13
0.001241	2.636
0.002216	4.786
0.001438	4.577
0.004105	6.103
0.001846	4.117
0.001059	2.103
0.000284	1.366
0.002263	3.462
0.002384	3.039
0.0006098	1.521
0.00129	1.005
0.0008866	0.4996
0.001224	1.416
0.004288	7.108
0.00124	4.97
0.0008756	2.313
0.0004537	1.386
0.0005173	1.044
0.0005763	0.6321
0.001863	3.974
0.001578	1.549
0.002369	2.709
0.002645	4.11
0.0003701	1.012
0.0004686	0.7461
0.001663	1.988
0.000754	0.4726
0.00345	3.825
0.002788	6.278
0.001381	1.488
0.001223	1.838
0.002426	2.738
0.002926	3.03
0.0001157	0.3981
0.0003318	0.2801
0.0001755	0.4155
0.0009731	1.757
0.001468	1.88
0.001255	0.5674
0.002609	2.096
0.001946	2.777
0.003024	1.382
0.001098	1.83
0.001455	2.0
0.001346	1.687
0.001093	0.5155
0.0008924	1.634
0.0008913	0.6359
0.0005936	0.3224
0.001194	2.286
0.0006165	1.037
0.04548	141.0
0.008189	31.41
0.01227	49.7
0.008569	16.33
0.01404	26.34
0.009631	24.59
0.01853	43.66
0.02485	50.58
0.01876	56.54
0.02028	34.74
0.01768	34.51
0.007316	18.19
0.02363	32.26
0.01609	44.4
0.01323	27.08
0.06442	57.09
0.0275	58.77
0.009015	17.02
0.01353	16.06
0.006501	13.1
0.006996	14.13
0.005179	10.03
0.003759	7.0
0.01435	24.35
0.00792	18.81
0.005147	9.759
0.003618	10.3
0.003169	5.609
0.003237	6.488
0.03836	55.1
0.04038	52.75
0.03037	46.04
0.02005	55.86
0.025	21.86
0.01516	11.05
0.02317	38.8
0.01018	49.63
0.001996	3.706
0.003479	3.662
0.002316	6.535
0.002694	4.787
0.002221	5.048
0.002018	7.366
0.002055	5.657
